batch_size,hidden_dim,num_epochs,learning_rate,dropout,accuracy
16,64,10,0.001,0.3,0.9517730496453901
16,64,10,0.001,0.5,0.9078014184397163
16,64,10,0.001,0.7,0.7560283687943262
16,64,10,0.0001,0.3,0.6780141843971631
16,64,10,0.0001,0.5,0.5460992907801419
16,64,10,0.0001,0.7,0.28085106382978725
16,64,50,0.001,0.3,0.9744680851063829
16,64,50,0.001,0.5,0.9659574468085106
16,64,50,0.001,0.7,0.8907801418439716
16,64,50,0.0001,0.3,0.9319148936170213
16,64,50,0.0001,0.5,0.873758865248227
16,64,50,0.0001,0.7,0.7347517730496453
16,64,100,0.001,0.3,0.975886524822695
16,64,100,0.001,0.5,0.9730496453900709
16,64,100,0.001,0.7,0.9347517730496454
16,64,100,0.0001,0.3,0.9602836879432625
16,64,100,0.0001,0.5,0.9276595744680851
16,64,100,0.0001,0.7,0.8368794326241135
16,128,10,0.001,0.3,0.9702127659574468
16,128,10,0.001,0.5,0.9645390070921985
16,128,10,0.001,0.7,0.8709219858156029
16,128,10,0.0001,0.3,0.8113475177304964
16,128,10,0.0001,0.5,0.724822695035461
16,128,10,0.0001,0.7,0.4907801418439716
16,128,50,0.001,0.3,0.9730496453900709
16,128,50,0.001,0.5,0.9773049645390071
16,128,50,0.001,0.7,0.9730496453900709
16,128,50,0.0001,0.3,0.948936170212766
16,128,50,0.0001,0.5,0.9319148936170213
16,128,50,0.0001,0.7,0.8666666666666667
16,128,100,0.001,0.3,0.9773049645390071
16,128,100,0.001,0.5,0.9744680851063829
16,128,100,0.001,0.7,0.9773049645390071
16,128,100,0.0001,0.3,0.9744680851063829
16,128,100,0.0001,0.5,0.9702127659574468
16,128,100,0.0001,0.7,0.9361702127659575
16,256,10,0.001,0.3,0.9716312056737588
16,256,10,0.001,0.5,0.9744680851063829
16,256,10,0.001,0.7,0.9588652482269504
16,256,10,0.0001,0.3,0.8950354609929078
16,256,10,0.0001,0.5,0.8666666666666667
16,256,10,0.0001,0.7,0.7276595744680852
16,256,50,0.001,0.3,0.9773049645390071
16,256,50,0.001,0.5,0.9773049645390071
16,256,50,0.001,0.7,0.9787234042553191
16,256,50,0.0001,0.3,0.9673758865248226
16,256,50,0.0001,0.5,0.9574468085106383
16,256,50,0.0001,0.7,0.9446808510638298
16,256,100,0.001,0.3,0.9787234042553191
16,256,100,0.001,0.5,0.9843971631205674
16,256,100,0.001,0.7,0.9787234042553191
16,256,100,0.0001,0.3,0.9801418439716312
16,256,100,0.0001,0.5,0.9716312056737588
16,256,100,0.0001,0.7,0.9702127659574468
32,64,10,0.001,0.3,0.9418439716312057
32,64,10,0.001,0.5,0.9035460992907801
32,64,10,0.001,0.7,0.75177304964539
32,64,10,0.0001,0.3,0.5787234042553191
32,64,10,0.0001,0.5,0.39574468085106385
32,64,10,0.0001,0.7,0.19148936170212766
32,64,50,0.001,0.3,0.9687943262411347
32,64,50,0.001,0.5,0.9702127659574468
32,64,50,0.001,0.7,0.8921985815602836
32,64,50,0.0001,0.3,0.9035460992907801
32,64,50,0.0001,0.5,0.8354609929078014
32,64,50,0.0001,0.7,0.676595744680851
32,64,100,0.001,0.3,0.9787234042553191
32,64,100,0.001,0.5,0.9744680851063829
32,64,100,0.001,0.7,0.9035460992907801
32,64,100,0.0001,0.3,0.9418439716312057
32,64,100,0.0001,0.5,0.8921985815602836
32,64,100,0.0001,0.7,0.750354609929078
32,128,10,0.001,0.3,0.9574468085106383
32,128,10,0.001,0.5,0.9531914893617022
32,128,10,0.001,0.7,0.9106382978723404
32,128,10,0.0001,0.3,0.7631205673758865
32,128,10,0.0001,0.5,0.6382978723404256
32,128,10,0.0001,0.7,0.4595744680851064
32,128,50,0.001,0.3,0.9716312056737588
32,128,50,0.001,0.5,0.9687943262411347
32,128,50,0.001,0.7,0.9673758865248226
32,128,50,0.0001,0.3,0.9446808510638298
32,128,50,0.0001,0.5,0.924822695035461
32,128,50,0.0001,0.7,0.8411347517730496
32,128,100,0.001,0.3,0.9773049645390071
32,128,100,0.001,0.5,0.9773049645390071
32,128,100,0.001,0.7,0.9730496453900709
32,128,100,0.0001,0.3,0.9602836879432625
32,128,100,0.0001,0.5,0.9574468085106383
32,128,100,0.0001,0.7,0.8907801418439716
32,256,10,0.001,0.3,0.9702127659574468
32,256,10,0.001,0.5,0.9716312056737588
32,256,10,0.001,0.7,0.9588652482269504
32,256,10,0.0001,0.3,0.8794326241134752
32,256,10,0.0001,0.5,0.7957446808510639
32,256,10,0.0001,0.7,0.6822695035460993
32,256,50,0.001,0.3,0.9787234042553191
32,256,50,0.001,0.5,0.9801418439716312
32,256,50,0.001,0.7,0.9815602836879432
32,256,50,0.0001,0.3,0.9602836879432625
32,256,50,0.0001,0.5,0.9546099290780142
32,256,50,0.0001,0.7,0.924822695035461
32,256,100,0.001,0.3,0.9801418439716312
32,256,100,0.001,0.5,0.9801418439716312
32,256,100,0.001,0.7,0.9773049645390071
32,256,100,0.0001,0.3,0.9744680851063829
32,256,100,0.0001,0.5,0.9716312056737588
32,256,100,0.0001,0.7,0.9574468085106383
64,64,10,0.001,0.3,0.924822695035461
64,64,10,0.001,0.5,0.873758865248227
64,64,10,0.001,0.7,0.7390070921985815
64,64,10,0.0001,0.3,0.3829787234042553
64,64,10,0.0001,0.5,0.28368794326241137
64,64,10,0.0001,0.7,0.18439716312056736
64,64,50,0.001,0.3,0.9744680851063829
64,64,50,0.001,0.5,0.9517730496453901
64,64,50,0.001,0.7,0.8553191489361702
64,64,50,0.0001,0.3,0.8382978723404255
64,64,50,0.0001,0.5,0.7333333333333333
64,64,50,0.0001,0.7,0.5659574468085107
64,64,100,0.001,0.3,0.9702127659574468
64,64,100,0.001,0.5,0.9659574468085106
64,64,100,0.001,0.7,0.9304964539007092
64,64,100,0.0001,0.3,0.9219858156028369
64,64,100,0.0001,0.5,0.8609929078014185
64,64,100,0.0001,0.7,0.7262411347517731
64,128,10,0.001,0.3,0.9560283687943263
64,128,10,0.001,0.5,0.9319148936170213
64,128,10,0.001,0.7,0.8680851063829788
64,128,10,0.0001,0.3,0.624113475177305
64,128,10,0.0001,0.5,0.44964539007092197
64,128,10,0.0001,0.7,0.16170212765957448
64,128,50,0.001,0.3,0.9716312056737588
64,128,50,0.001,0.5,0.975886524822695
64,128,50,0.001,0.7,0.9659574468085106
64,128,50,0.0001,0.3,0.9304964539007092
64,128,50,0.0001,0.5,0.8836879432624114
64,128,50,0.0001,0.7,0.7886524822695036
64,128,100,0.001,0.3,0.9787234042553191
64,128,100,0.001,0.5,0.9787234042553191
64,128,100,0.001,0.7,0.9744680851063829
64,128,100,0.0001,0.3,0.9546099290780142
64,128,100,0.0001,0.5,0.9390070921985816
64,128,100,0.0001,0.7,0.8907801418439716
64,256,10,0.001,0.3,0.9702127659574468
64,256,10,0.001,0.5,0.9617021276595744
64,256,10,0.001,0.7,0.9347517730496454
64,256,10,0.0001,0.3,0.8014184397163121
64,256,10,0.0001,0.5,0.7290780141843972
64,256,10,0.0001,0.7,0.5205673758865248
64,256,50,0.001,0.3,0.975886524822695
64,256,50,0.001,0.5,0.9801418439716312
64,256,50,0.001,0.7,0.975886524822695
64,256,50,0.0001,0.3,0.950354609929078
64,256,50,0.0001,0.5,0.9319148936170213
64,256,50,0.0001,0.7,0.8808510638297873
64,256,100,0.001,0.3,0.975886524822695
64,256,100,0.001,0.5,0.9815602836879432
64,256,100,0.001,0.7,0.9787234042553191
64,256,100,0.0001,0.3,0.9702127659574468
64,256,100,0.0001,0.5,0.9588652482269504
64,256,100,0.0001,0.7,0.9475177304964539
